city,lat,lon,population,state_code
Ahmedabad (NA),23.0225,72.5714,0,NA
Bengaluru (NA),12.9716,77.5946,0,NA
Bhopal (NA),23.2599,77.4126,0,NA
Bhubaneswar (NA),20.2961,85.8245,0,NA
Chennai (NA),13.0827,80.2707,0,NA
Coimbatore (NA),11.0168,76.9558,0,NA
Delhi (NA),28.6139,77.209,0,NA
Guwahati (NA),26.1445,91.7362,0,NA
Hyderabad (NA),17.385,78.4867,0,NA
Indore (NA),22.7196,75.8577,0,NA
Jaipur (NA),26.9124,75.7873,0,NA
Kanpur (NA),26.4499,80.3319,0,NA
Kochi (NA),9.9312,76.2673,0,NA
Kolkata (NA),22.5726,88.3639,0,NA
Lucknow (NA),26.8467,80.9462,0,NA
Madurai (NA),9.9252,78.1198,0,NA
Mumbai (NA),19.076,72.8777,0,NA
Nagpur (NA),21.1458,79.0882,0,NA
Patna (NA),25.5941,85.1376,0,NA
Pune (NA),18.5204,73.8567,0,NA
